dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05008] added dtor for sub_bitmap 02A40F88, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05009] added dtor for sub_bitmap 02A41910, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05010] added dtor for sub_bitmap 02A41A90, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05011] added dtor for sub_bitmap 02A41C10, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05012] added dtor for sub_bitmap 02A41D90, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05013] added dtor for sub_bitmap 02A41F10, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05014] added dtor for sub_bitmap 02A42090, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05015] added dtor for sub_bitmap 02A42210, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05016] added dtor for sub_bitmap 02A42390, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05017] added dtor for sub_bitmap 02A42510, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05018] added dtor for sub_bitmap 02A42690, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05019] added dtor for sub_bitmap 02A42810, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05020] added dtor for sub_bitmap 02A43470, func 67781C90
dtor     D E:\LIBS\LIBS81Rebuild\allegro525\src\dtor.c:196  _al_register_destructor          [   0.05022] added dtor for sub_bitmap 02A42FD8, func 67781C90
